fixture_id,fixture_date,fixture_timestamp,league_id,league_name,league_country,league_season,league_round,teams_home_id,teams_home_name,teams_home_winner,teams_away_id,teams_away_name,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,halftime_goals_total,fulltime_goals_total,match_result,halftime_match_result,fulltime_match_result
27519,2018-08-17 20:00:00+00:00,1534536000,141,Segunda Division,Spain,2018,Regular Season - 1,722,Albacete,,544,Deportivo La Coruna,,1,1,0,0,0,2,0,0:0,1:1
27520,2018-08-18 18:30:00+00:00,1534617000,141,Segunda Division,Spain,2018,Regular Season - 1,711,Alcorcon,,731,Sporting Gijon,,1,1,0,0,0,2,0,0:0,1:1
27521,2018-08-17 18:00:00+00:00,1534528800,141,Segunda Division,Spain,2018,Regular Season - 1,724,Cadiz,True,723,Almeria,False,1,0,0,0,0,1,1,0:0,1:0
27522,2018-08-18 20:00:00+00:00,1534622400,141,Segunda Division,Spain,2018,Regular Season - 1,713,Cordoba,,717,Numancia,,3,3,1,0,1,6,0,1:0,3:3
27523,2018-08-18 17:00:00+00:00,1534611600,141,Segunda Division,Spain,2018,Regular Season - 1,797,Elche,,715,Granada CF,,0,0,0,0,0,0,0,0:0,0:0
27524,2018-08-20 18:00:00+00:00,1534788000,141,Segunda Division,Spain,2018,Regular Season - 1,714,Gimnastic,,719,Tenerife,,1,1,1,0,1,2,0,1:0,1:1
27525,2018-08-19 20:00:00+00:00,1534708800,141,Segunda Division,Spain,2018,Regular Season - 1,534,Las Palmas,True,729,Reus,False,2,0,1,0,1,2,1,1:0,2:0
27526,2018-08-18 17:30:00+00:00,1534613400,141,Segunda Division,Spain,2018,Regular Season - 1,716,Lugo,False,535,Malaga,True,1,2,1,0,1,3,2,1:0,1:2
27527,2018-08-19 17:00:00+00:00,1534698000,141,Segunda Division,Spain,2018,Regular Season - 1,798,Mallorca,True,727,Osasuna,False,1,0,1,0,1,1,1,1:0,1:0
27528,2018-08-19 17:00:00+00:00,1534698000,141,Segunda Division,Spain,2018,Regular Season - 1,718,Oviedo,,860,Extremadura,,1,1,1,0,1,2,0,1:0,1:1
27529,2018-08-19 18:30:00+00:00,1534703400,141,Segunda Division,Spain,2018,Regular Season - 1,732,Zaragoza,True,861,Rayo Majadahonda,False,2,1,2,0,2,3,1,2:0,2:1
27530,2018-08-26 20:00:00+00:00,1535313600,141,Segunda Division,Spain,2018,Regular Season - 2,723,Almeria,,719,Tenerife,,1,1,1,0,1,2,0,1:0,1:1
27531,2018-08-25 20:00:00+00:00,1535227200,141,Segunda Division,Spain,2018,Regular Season - 2,713,Cordoba,False,718,Oviedo,True,2,4,0,2,2,6,2,0:2,2:4
27532,2018-08-24 20:00:00+00:00,1535140800,141,Segunda Division,Spain,2018,Regular Season - 2,860,Extremadura,False,544,Deportivo La Coruna,True,0,1,0,0,0,1,2,0:0,0:1
27533,2018-08-26 18:30:00+00:00,1535308200,141,Segunda Division,Spain,2018,Regular Season - 2,715,Granada CF,,716,Lugo,,1,1,1,0,1,2,0,1:0,1:1
27534,2018-08-25 18:30:00+00:00,1535221800,141,Segunda Division,Spain,2018,Regular Season - 2,534,Las Palmas,,722,Albacete,,1,1,1,0,1,2,0,1:0,1:1
27535,2018-08-24 20:00:00+00:00,1535140800,141,Segunda Division,Spain,2018,Regular Season - 2,535,Malaga,True,711,Alcorcon,False,1,0,0,0,0,1,1,0:0,1:0
27536,2018-08-25 17:00:00+00:00,1535216400,141,Segunda Division,Spain,2018,Regular Season - 2,717,Numancia,,724,Cadiz,,1,1,1,1,2,2,0,1:1,1:1
27537,2018-08-26 17:30:00+00:00,1535304600,141,Segunda Division,Spain,2018,Regular Season - 2,727,Osasuna,,797,Elche,,1,1,0,0,0,2,0,0:0,1:1
27538,2018-08-27 18:00:00+00:00,1535392800,141,Segunda Division,Spain,2018,Regular Season - 2,861,Rayo Majadahonda,False,798,Mallorca,True,0,1,0,1,1,1,2,0:1,0:1
